name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Ashcroft Theatre (Fairfield Halls),Park Lane,NA,NA,Croydon,https://en.wikipedia.org/wiki/Ashcroft_Theatre,100023000000,E09000008,Fairfield,E05011468,-0.09738291688166564,51.37305114926197,532302.9563383604,165605.89368591597,10/17/2021
Geoffrey Whitworth Theatre,Beech Walk, Crayford,NA,Bexley,http://www.thegwt.org.uk/,100023000000,E09000004,Crayford,E05011222,0.1883775691691815,51.456057832683626,551910.6417937898,175388.78633604455,10/17/2021
Nursery Theatre,2  Finsbury Avenue ,NA,NA,Islington,http://thenurserytheatre.com/theatre/,100023000000,E09000019,Bunhill,E05000367,-0.08681444896265701,51.51992929438563,532611.7363592533,181954.57159205544,10/17/2021
Winterflood Theatre,City of London School, Queen Victoria Street,NA,City and County of the City of London,https://www.cityoflondonschool.org.uk/school-life/drama/winterflood-theatre,100023000000,E09000001,Castle Baynard,E05009297,-0.10094509503775877,51.51153824416853,531655.8462033257,180996.12707579066,10/17/2021
CentrE17,1 Church Hill,NA,NA,Waltham Forest,https://thecentre17.com/,100023000000,E09000031,High Street,E05000599,-0.019990926343150462,51.58584387846819,537048.0903064312,189406.0848981426,10/17/2021
"Mirth, Marvel and Maud",186 Hoe St, Walthamstow,NA,Waltham Forest,http://mirthmarvelandmaud.com/,100023000000,E09000031,William Morris,E05000608,-0.022018905831562477,51.587001674767116,536904.1432192803,189530.99823186162,10/17/2021
Redbridge Drama Centre,Churchfields, South Woodford,NA,Redbridge,http://www.redbridgedramacentre.co.uk/,100023000000,E09000026,Churchfields,E05011238,0.025399643869176123,51.598789500602805,540151.7866554954,190931.41484468378,10/17/2021
Hackney Empire,291 Mare St,NA,NA,Hackney,https://hackneyempire.co.uk/,100023000000,E09000012,Hackney Central,E05009372,-0.057085172016267866,51.546577257873956,534595.0557862788,184971.5143981303,10/17/2021
Chats Palace,Chats Palace Arts Centre, 42â€“44 Brooksbyâ€™s Walk,NA,Hackney,https://chatspalace.com/,100023000000,E09000012,Homerton,E05009376,-0.04437854497360178,51.55063710292275,535463.789436545,185446.3614782546,10/17/2021
Winston Churchill Theatre,Manor Farm, Pinn Way, Ruislip,Hillingdon,http://www.hillingdontheatres.uk/index.php/hire/our-spaces/wct/,100023000000,E09000017,Eastcote and East Ruislip,E05000329,-0.43031895496640676,51.5794431637199,508643.92347049346,188004.31830777664,10/17/2021
Kenneth More Theatre,Oakfield Road, Ilford,NA,Redbridge,https://www.kmtheatre.co.uk/,100023000000,E09000026,Ilford Town,E05011246,0.07101540572494508,51.560525556756566,543430.6606043054,186765.91268801014,10/17/2021
the cornerHOUSE Community Arts Centre,116 Douglas Rd, Surbiton,NA,Kingston upon Thames,http://www.thech.org/,100023000000,E09000021,Surbiton Hill,E05000413,-0.29561325729915205,51.3814061155264,518487.8434720787,166195.3132198996,10/17/2021
Cockpit Theatre,Gateforth St, Marylebone,NA,City of Westminster,http://thecockpit.org.uk/,100023000000,E09000033,Church Street,E05000634,-0.1708692755933803,51.524957453241264,526767.7358561571,182364.47774580773,10/17/2021
National Centre for Circus Arts ,Coronet Street,NA,NA,Hackney,NA,100023000000,E09000012,Hoxton West,E05009378,-0.0838679841879728,51.528030076155595,532792.5217256857,182860.55225835805,10/17/2021
Hoxton Hall,130 Hoxton St,NA,NA,Hackney,https://www.hoxtonhall.co.uk/,100023000000,E09000012,Hoxton East & Shoreditch,E05009377,-0.0816091668988306,51.53232500662257,532936.6471352878,183342.15909222042,10/17/2021
Courtyard Theatre,40 Pitfield St,NA,NA,Hackney,http://www.thecourtyard.org.uk/,100023000000,E09000012,Hoxton West,E05009378,-0.08498978715128114,51.528388442358555,532713.6849739901,182898.35921007983,10/17/2021
Tower Theatre ,16 Northwold Road,NA,NA,Hackney,http://www.towertheatre.org.uk/relo.htm,100023000000,E09000012,Stoke Newington,E05009385,-0.07354234928933352,51.563323449122905,533405.1682656718,186803.18678582401,10/17/2021
Jacksons Lane,269A Archway Rd, Highgate,NA,Haringey,https://www.jacksonslane.org.uk/,100023000000,E09000014,Highgate,E05000272,-0.14797529212998115,51.577612608047424,528207.2419546065,188258.6538831847,10/17/2021
Arthouse,159A Tottenham Lane,NA,NA,Haringey,NA,100023000000,E09000014,Hornsey,E05000273,-0.12154866956516953,51.582338135018,530024.3444236105,188830.75117713393,10/17/2021
Queen's Theatre Hornchurch ,Billet Ln, Hornchurch,NA,Havering,http://www.queens-theatre.co.uk/,100023000000,E09000016,St. Andrew's,E05000320,0.21779054439333426,51.5657199363651,553583.8345923924,187641.79350709065,10/17/2021
Young Vic,66 The Cut, Waterloo,NA,Lambeth,https://www.youngvic.org/,100023000000,E09000022,Bishop's,E05000416,-0.10887473666188882,51.50378940848611,531128.0060446041,180120.3597660028,10/17/2021
Blackheath Halls,23 Lee Rd, Blackheath,NA,Lewisham,NA,100023000000,E09000023,Blackheath,E05000438,0.007909575036997105,51.46530269217728,539348.2109133932,176057.35854480806,10/17/2021
Blackheath Halls,23 Lee Rd, Blackheath,NA,Lewisham,https://www.blackheathhalls.com/,100023000000,E09000023,Blackheath,E05000438,0.007909575036997105,51.46530269217728,539348.2109133932,176057.35854480806,10/17/2021
The Brockley Jack Theatre,410 Brockley Rd,NA,NA,Lewisham,http://www.brockleyjack.co.uk/,100023000000,E09000023,Crofton Park,E05000441,-0.04013948528394887,51.45394088416412,536045.46583096,174703.7482714944,10/17/2021
Bob Hope Theatre,2 Wythfield Rd, Eltham,NA,Greenwich,http://www.bobhopetheatre.co.uk/,100023000000,E09000011,Eltham South,E05000219,0.04888525884825754,51.45000019851771,542241.2339865477,174434.96866584546,10/17/2021
Putney Arts Theatre,Ravenna Rd, Putney,NA,Wandsworth,http://www.putneyartstheatre.org.uk/,100023000000,E09000032,East Putney,E05000613,-0.22170317074438145,51.461026517403596,523414.9482340534,175169.62243055028,10/17/2021
Trafalgar Studios,14 Whitehall, Westminster,NA,City of Westminster,http://trafalgarentertainment.com/about-us/trafalgar-studios/,100023000000,E09000033,St. James's,E05000644,-0.12911301234742875,51.50697185527061,529714.7442034902,180438.08194449806,10/17/2021
Apollo Victoria,17 Wilton Rd, Pimlico,NA,City of Westminster,https://www.theapollovictoria.com/,100023000000,E09000033,Warwick,E05000647,-0.14425831465409358,51.49628760576857,528694.0801079606,179223.44374793553,10/17/2021
Her Majesty's Theatre,Haymarket, St. James's,NA,City of Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/her-majestys,100023000000,E09000033,St. James's,E05000644,-0.1336126049007627,51.508634620890895,529397.8512102274,180614.97491437988,10/17/2021
Streatham Space Project,Sternhold Avenue,NA,NA,Lambeth,https://www.streathamspaceproject.co.uk/,100023000000,E09000022,Streatham Hill,E05000430,-0.12847473262437734,51.43917353860401,529951.7867461583,172901.47311994998,10/17/2021
Omnibus Theatre,1 Clapham Common North Side,NA,NA,Lambeth,https://omnibus-clapham.org/,100023000000,E09000022,Clapham Town,E05000419,-0.14454540532480598,51.4636699274074,528766.1221951983,175596.54236907285,10/17/2021
The Mary Wallace Theatre,The Embankment, Twickenham,NA,Richmond upon Thames,http://www.richmondshakespeare.org.uk/,100023000000,E09000027,Twickenham Riverside,E05000531,-0.32766426095161283,51.44699382936108,516091.51527351217,173435.9927311992,10/17/2021
St Mary's University ,Waldegrave Road, Twickenham,NA,Richmond upon Thames,NA,100023000000,E09000027,South Twickenham,E05000529,-0.33304484893455893,51.43617233565898,515745.0738159118,172224.3601402864,10/17/2021
Paul Robeson Theatre (The Arts Centre Hounslow),Treaty Centre, High St, Hounslow,Hounslow,http://www.hounslowartscentre.co.uk/,100023000000,E09000018,Hounslow Central,E05000358,-0.3646055759918872,51.46864495920792,513471.3419139311,175785.2268686553,10/17/2021
